FLUX,X_IMAGE,Y_IMAGE,RA,DEC,MATCHED,SEPARATION,GAIA_MAG,CALCULATED_MAG,FLUX_MAG_MATCHED,XYM_MATCHED,ANY_MATCHED
12017.33,9850.3408,2.0775,16.707625321636378,61.73937037038807,1,6.8181596804810765,18.039637,15.997751345367217,0,0,0
3395.846,5599.5967,3.1919,15.96148170104552,61.739760537197625,1,4.757646684892247,19.302979,17.290458858936752,0,0,0
3621.705,8605.5,2.9888,16.48911759824756,61.73995429600789,1,5.410943826674437,19.178192,17.224593836167745,0,0,0
17473.81,5731.1284,5.3693,15.98456744434628,61.7399932454388,1,4.489522401348591,18.996605,15.614834210352466,0,0,0
46696.26,6881.6899,2.7919,16.18652895113271,61.740065772673006,1,5.989007719287378,20.999777,14.609387077112231,0,0,0
34776.92,7999.3726,3.0049,16.38272118425256,61.74007681413882,1,0.900278545242944,19.217476,14.910839003239715,0,0,0
12844.87,11204.7207,3.8336,16.945351794671573,61.738567170855966,1,7.70338446071198,20.967024,15.92963318679822,0,0,0
7683.693,8836.8154,8.0845,16.52972480789925,61.7403097561668,1,5.5437980317133695,20.782433,16.455232123118932,0,0,0
152554.8,10105.5127,3.2705,16.752416352344103,61.739322268537535,1,3.250758359930302,18.673407,13.93242263778446,0,0,0
56716.59,9209.3232,5.4175,16.595110663344865,61.73995320642936,1,2.185358899181176,19.854528,14.41053723011738,0,0,0
10539.1,8019.5513,5.223,16.386263934459887,61.74025845831056,1,4.92007213673525,19.503323,16.13201162331849,0,0,0
6047.215,10785.8232,12.9037,16.871842397641995,61.739658639149816,1,0.8354569770691115,15.5935,16.700213444733983,0,1,1
20556.84,10497.0312,8.8951,16.821145876288263,61.739535286863926,1,3.7917786983116666,20.775097,15.448626527512996,0,0,0
34450.5,10074.6221,3.0802,16.746993991322864,61.739325058682006,1,4.2601833346621865,20.213923,14.920485171455743,0,0,0
25168.21,9852.083,12.3127,16.707943206271196,61.74022005457548,1,4.923193683340237,18.039637,15.241608735923649,0,0,0
9228.832,10092.3428,17.0008,16.750122467040036,61.74047133721722,1,3.2845774400597074,20.999184,16.26780829141889,0,0,0
6487.589,6311.3286,25.1192,16.086400522417147,61.74181647545367,1,4.397774851889722,20.091196,16.628312285109704,0,0,0
9889.014,10555.0605,21.8775,16.831351166479834,61.74057358117436,1,1.9879521993805824,15.445284,16.197135794360705,1,0,1
12050.24,8905.5791,24.5788,16.541807312689304,61.74165805277296,1,6.162363345368235,19.828533,15.994953981841514,0,0,0
29416.5,11211.0039,13.2726,16.94647185233417,61.7393462483866,1,5.70337427525379,19.553371,15.0820666171448,0,0,0
825103.7,6543.0913,4.8851,16.127092832379915,61.7401862813409,1,7.889590118558075,19.648186,13.2230188088674,0,0,0
40659.64,9834.2324,6.3277,16.704802831885324,61.739732405132536,1,4.714397865914686,18.039637,14.75098188498857,0,0,0
22185.72,12652.6016,26.4678,17.199520982278013,61.73897671581646,1,2.718662658015704,18.980227,15.370627006774576,0,0,0
17687.79,13420.29,30.9486,17.334262976615154,61.73837736370332,1,6.222758116167278,18.681736,15.602384394891988,0,0,0
31489.47,9220.4033,20.8784,16.597069176196772,61.741233672028486,1,0.7984772510221366,16.70297,15.012411354496225,0,1,1
37933.59,6969.6909,13.6225,16.20197399479286,61.740975579277695,1,4.3927550757005465,15.724916,14.82196841278346,1,0,1
38777.63,11220.3018,22.3057,16.948120377298483,61.74008900206882,1,5.4743558067293465,19.553371,14.799458455850695,0,0,0
7906.247,10599.3691,37.3865,16.839152537095817,61.74183095516503,1,4.980909229387977,19.683441,16.426026030151633,0,0,0
15777.76,14143.6006,35.9166,17.461211073040722,61.73775322535064,1,5.7163984820735525,20.336672,15.719271730341015,0,0,0
7753.751,5415.6162,37.8563,15.929155755576804,61.74256254120397,1,5.593563557123731,20.288946,16.44594805496654,0,0,0
24968.53,5942.668,35.5577,16.021678275793665,61.74257724972272,1,4.394992672859086,20.685957,15.249756412308454,0,0,0
90337.95,10909.8691,24.6104,16.893635168403666,61.740535672906205,1,1.250959992594443,14.852995,14.18730013857235,1,1,1
94378.65,12659.5557,12.9983,17.20070754745567,61.73784916246672,1,5.755552295459475,18.980227,14.165174017886685,0,0,0
51853.0,6961.4194,26.8788,16.200519382964668,61.74207648243722,1,5.333869340739722,15.724916,14.502242125596377,0,0,0
152555.8,10137.8135,27.1416,16.758117416431094,61.74128648295775,1,1.753248688522255,13.152923,13.932419576580054,1,0,1
19349.78,5454.0566,49.3688,15.935893098833832,61.74353645003346,1,7.68045591119379,20.499218,15.510523500021538,0,0,0
42807.36,14514.6006,39.8378,17.5263269144429,61.737501463753645,1,7.724424342345572,21.05264,14.698330265682708,0,0,0
23667.93,6884.7646,49.8636,16.187057568260535,61.74397829198896,1,4.702399300111594,16.312546,15.304475436446015,0,0,0
31856.28,6195.1768,44.2577,16.066000211211524,61.74337673520834,1,1.1553986476823035,13.2915125,15.000565086941611,0,1,1
969724.7,7417.0044,7.4394,16.28049515290632,61.740483914829966,1,3.09427362447189,17.068357,13.161799791604595,0,0,0
11479.43,5471.998,60.9982,15.939032090342076,61.74451083305254,1,5.469738414612547,20.499218,16.0445919449524,0,0,0
11090.44,5499.3472,63.6098,15.94383100656061,61.74473974803541,1,2.5233029962999547,18.313068,16.079853818575643,0,0,0
23068.25,14048.6992,60.763,17.444636460490976,61.73996065308596,1,1.1866272259388615,14.155757,15.330726275348145,0,1,1
8004.956,5800.9126,72.6273,15.996765956005296,61.745608889746144,1,1.831279448482518,21.067934,16.41333454910105,0,0,0
4150.177,14577.5,81.0267,17.53750558322105,61.74082303283998,1,6.319862861231325,20.689285,17.08527190697223,0,0,0
49750.29,12325.1152,57.3975,17.142117148901733,61.741921221654906,1,0.6324905197934503,13.814439,14.544585612772686,1,1,1
84362.74,7820.3223,49.5347,16.351301363160726,61.74396392030045,1,7.0687920693553385,20.22784,14.22224155913257,0,0,0
92231.71,9796.8555,64.4395,16.69830913447993,61.74458224694244,1,1.62740340032621,14.556273,14.176788891198283,1,0,1
88397.02,7124.9375,66.2799,16.229219510061597,61.74536478407868,1,2.50480555115849,18.716208,14.198344861669344,0,0,0
1293576.0,5462.1802,12.929,15.937352528146306,61.74051155722898,1,1.610983818437982,18.580677,13.054861064060974,0,0,0
356226.9,13349.6904,43.3325,17.321908325624314,61.73950136692072,1,4.815812148432922,18.388786,13.558322275025388,0,0,0
449562.8,9363.8809,43.4257,16.622276590845033,61.74304692838187,1,6.556342691317646,17.214489,13.462347735436635,0,0,0
6880.141,14633.8906,92.6534,17.54744199889028,61.7416978284122,1,7.197423473178315,17.42741,16.568220180983513,1,0,1
58704.66,10736.3809,79.512,16.863270759211332,61.74523155922016,1,1.440180159081043,14.33507,14.375296747150433,1,1,1
173655.5,14467.0645,65.0004,17.51807047423739,61.73966808690671,1,1.5683313655048574,12.958024,13.872485727582747,1,0,1
138443.0,8427.9912,70.9889,16.457992771460805,61.74564988363428,1,1.5840277911470428,12.733507,13.97807916039748,0,0,0
663097.3,13319.4199,63.1778,17.3166520075247,61.74119085974764,1,2.6850195745806587,20.432596,13.307440479501558,0,0,0
29239.93,5937.3574,96.0894,16.020704359697262,61.74760625745898,1,0.4441217432817309,17.340082,15.08822484282365,0,1,1
274406.2,7943.2178,63.0475,16.37288022527121,61.74507404633815,1,1.385822004390446,13.445903,13.669119784648217,1,1,1
12076.13,6407.0098,98.5115,16.103162569778824,61.74793883680599,1,4.7394252584267305,19.757845,15.9927586851047,0,0,0
482174.3,12791.834,67.4829,17.224062888560635,61.742218767927376,1,0.3079574502744445,15.364562,13.433954406834918,0,1,1
6652.089,7001.1157,105.3345,16.207473746637046,61.74860085781958,1,1.953059355117286,17.889227,16.602699496252992,0,0,0
36453.75,7651.2881,90.7428,16.32163151374195,61.747401003243326,1,3.8587885723180815,20.094484,14.86267137655781,0,0,0
5331.898,10606.0195,110.297,16.84043223752372,61.74788564064767,1,2.431999326039884,19.610271,16.828983884570984,0,0,0
3838979.0,10235.7861,17.1887,16.775301665914863,61.74039816289695,1,2.270405904375093,15.672268,12.67427546148904,0,0,0
15842.54,6598.3667,108.5107,16.136756913496047,61.74880913261342,1,3.17976076984054,16.155325,15.71508062512461,1,0,1
